anger (L),fear (L),sad (L),disgust (L),anger (R),fear (R),sad (R),disgust (R),anger (G),fear (G),sad (G),disgust (G)
1,0,1,1,0,0,1,1,0,0,1,1
1,0,1,1,0,1,1,1,0,1,1,1
0,0,1,0,0,1,1,0,0,0,1,0
0,1,1,0,0,1,1,0,0,1,0,1
1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1
1,0,1,1,0,0,1,1,0,0,1,1
1,0,1,1,1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,1,1,1,0,1,0
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,0,1,1
0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,1,1,0,1,1,1,0
1,0,1,1,1,0,1,1,1,0,1,1
1,0,1,0,1,0,1,0,1,0,1,0
1,1,1,1,0,1,0,1,0,1,0,1
0,0,1,0,0,0,1,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,1,1,0,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1,1
1,1,1,0,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0
1,1,1,0,1,1,1,0,1,1,1,1
1,0,1,0,1,0,1,0,1,0,1,1
1,0,1,0,1,0,1,1,1,0,1,0
0,0,1,1,0,0,1,0,0,0,0,1
1,0,1,1,1,0,1,1,0,0,1,1
1,1,1,1,1,0,1,1,1,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,0,0,1,1
1,0,1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,0,0,1,1,1
0,1,1,0,0,1,1,0,1,1,1,1
1,1,1,1,1,0,0,1,1,0,0,1
1,1,1,0,1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0,0,1,1,1
1,1,1,1,0,1,1,1,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,0,1
0,1,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
0,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,0,1,1,0,0,1,1,0,0,1,1
0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,0,1,1,0
1,0,1,1,1,0,1,1,1,0,1,1
0,1,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,1,0
1,1,1,1,0,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1
0,1,1,0,0,1,1,0,0,1,1,0
1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,0,1,1,1,0,1,0
1,1,1,0,1,0,1,1,1,0,1,1
0,1,1,0,0,0,1,0,0,0,1,1
1,0,1,1,1,0,1,1,1,0,0,1
1,1,1,0,0,0,1,0,0,0,1,0
0,1,1,0,0,1,1,0,1,1,1,0
1,0,1,1,1,0,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0,0,1,0
1,0,1,0,0,0,1,0,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,0,1,0,1,0,1,0,1,1
1,1,1,0,0,1,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,1,0
0,1,1,1,0,1,1,0,0,1,1,1
1,0,1,1,1,0,1,1,0,0,1,1
0,1,1,1,0,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1
