Unnamed: 0,Topic,Count,Name,Representation,Representative_Docs,GPT Label,Stage,Category,"Category (0 - Background, 1 - Oon before, 2 - Trigger, 3 - Oon after)",Label
2.0,4,2572.0,4_text_screamed_mad_hung,"['text', 'screamed', 'mad', 'hung', 'argue', 'texted', 'answer', 'stop talking', 'want talk', 'upset']","['He asks a lot of questions and I just try to answer them or look them up with him.', 'He started screaming at me, I told him not to raise his fucking voice at me while I‚Äôm trying to have a convo with him and hung up.', 'I was hyperventilating and crying uncontrollably and he interpreted it as me trying to scare him like I was mad or something so he just yelled louder until he left eventually.', 'He‚Äôll discuss it, but he gets pretty upset if you actually bring up good points.', ""He knows I don't want to hear it, but he likes making me mad.""]",Increased Aggression and Hostility Toward Others,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
3.0,5,1981.0,5_text_argue_spoken_want talk,"['text', 'argue', 'spoken', 'want talk', 'hung', 'texting', 'answer', 'thanked', 'talk anymore', 'disagree']","[""I haven't spoken to her since then and it's been about a month."", 'She just want to agree to disagree, I want to discuss the matter, understand her reasoning... so in the end we just agree to disagree.', ""Who's going to argue with her?"", 'I have yet to text her back.', ""I didn't see the text so she called.""]",Communication Tension and Breakdown,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
9.0,8,1543.0,1543,"['covid', 'got covid', 'covid hit', 'covid 19', 'died covid', '19', 'hit', 'died', 'due covid', 'hoax']","['Apparently, it happened during Covid.', '“Because they know COVID is bullshit”.', 'My big wakeup call was COVID.']",COVID-19 Lockdowns,2,Pandemic,2-Trigger,COVID-19 Lockdowns
5.0,20,850.0,20_oxygen_hospital_doctor_doctors,"['oxygen', 'hospital', 'doctor', 'doctors', 'medical', 'heart attack', 'diabetes', 'medication', 'cancer', 'failure']","['He is over 70 and has diabetes, high blood pressure, and congestive heart failure.', 'His wife has been sick and is now in hospital.', 'And after evaluating him they decided to bring him to a mental hospital.', 'After getting out of the hospital.. he was not the same.', 'His blood oxygen when he made it to the ER was 76.']",Physical Health Disorders,1,Health,0-Background-Health,Physical Health Disorders
11.0,40,523.0,40_missing_saving children_protect_saving,"['missing', 'saving children', 'protect', 'saving', 'safety', 'kid', 'save children', 'abuse', 'kids want', 'child abuse']","['The estrangements were painful for these parents and in an attempt to help them process what was happening, the essay author noticed a trend of ‚Äúmissing  missing reasons.‚Äù TL;DR these estranged parents almost uniformly were unable to say why they had been cut off by their adult children.', 'I am so frustrated with this ""missing children"" crap.', 'In many countries, statistics on missing children are not even available; and, unfortunately, even available statistics may be inaccurate due to: under-reporting/under-recognition; inflation; incorrect database entry of case information; and deletion of records once a case is closed.‚Äù \n\nand also\n\n ‚Äú250,000 children are reported missing every year in the EU, 1 child every 2 minutes‚Äù\n\ni know that the vast majority of these reported cases are custody disputes between estranged parents, but he is completely sold that these kids are legitimately abducted and trafficked, despite that being an absolutely insane number, and wouldn‚Äôt that constitute the biggest news story of our times!?', 'You thought you were saving children?', 'And where the hell are all the missing migrant children?!?!?!?!?!']",Child Sex Trafficking and Satanic Sacrifice,3,Conspiracist Beliefs,3-Oon after-Belief,Child Harm and Elite Abuse Narratives
12.0,42,496.0,42_relationships_strained_end relationship_repair,"['relationships', 'strained', 'end relationship', 'repair', 'good relationship', 'strain relationship', 'strain', 'surface level', 'time together', 'complicated']","['Things have been strained between the two of us since.', ""In other words, it's time for me to triage my relationships."", 'I had been in several dysfunctional relationships but this was the worst.', 'Sometimes those relationships can be mended; sometimes they can‚Äôt be.', 'Suffice it to say the relationships are very strained.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
13.0,43,493.0,43_black_racist_white_racism,"['black', 'racist', 'white', 'racism', 'black people', 'white people', 'race', 'brown', 'supremacy', 'color']","['One of the things growing up that we both really struggled with was race and how having a white mother and black father was being too white for the black kids and too black for the white kids.', 'My boyfriend is black, his friend is white, and I am also white.', 'I am a black woman and my husband is a white man from the Midwest.', 'Im in a multiracial family, and often grapple with the fact that my father can be so racist when he has a black son and wife.', 'As far as racism goes everyone in the world is racist in some way.']",Experiences of Race and Racism,1,Race,0-Background-Race,Experiences of Race and Racism
14.0,44,484.0,44_conversations_spoken_spoken since_communication,"['conversations', 'spoken', 'spoken since', 'communication', 'end conversation', 'want talk', 'talk phone', 'talk anything', 'conversation went', 'small talk']","['We‚Äôve had many of these conversations.', 'We were able to have real conversations.', 'Any conversations we have can be kept confidential for now.', 'We do not talk often so it never comes up in our conversations.', 'Our conversations were only about this.']",Communication Tension and Breakdown,3,Behavior/action,3-Oon after-Behavior/action,Social Deterioration and Relationship Strain
15.0,45,474.0,45_ivermectin_horse_cure_paste,"['ivermectin', 'horse', 'cure', 'paste', 'doctor', 'treat', 'doctors', 'medicine', 'doses', 'ordered']","['and they with their buckets of ivermectin dgaf then, so why does it matter now?).', 'I have a question about ivermectin.', 'I said, ""No, I won\'t be taking ivermectin.', ""Ivermectin and hydroxychloroquine aren't working."", 'What effectiveness had ivermectin had anyway?']",Ivermectin Use in Treating Illness,3,Conspiracist Beliefs,3-Oon after-Belief,Medical Mistrust
16.0,50,445.0,50_currency_gold_silver_crypto,"['currency', 'gold', 'silver', 'crypto', 'scam', 'debt', 'bank', 'dollar', 'banks', 'worthless']","[""He's been slowly funneling out our money to crypto currency that I don't have access to."", 'Thankfully he just bought gold and silver with it though.', 'My mom is spending hers and my dads life savings on crypto currency and also buying all sorts of worthless currency from EBay (Zimbabwe, Iraqi, Venezuelan currency).', 'Then somehow it turns into how we aren‚Äôt aware of what‚Äôs happening in this country and how currency is about to change to gold and silver and demanded that tomorrow he is going to buy gold!', 'He wants to put all our money into gold/silver purchases.']",Precious Metals Investment,3,Behavior/action,3-Oon after-Behavior/action,Lifestyle Changes Driven by Conspiratorial Beliefs
